Cidade1,Cidade2,Custo
Aveiro,Porto,68
Aveiro,Viseu,98
Aveiro,Coimbra,68
Aveiro,Leiria,115
Braga,Viana do Castelo,48
Braga,Vila Real,106
Braga,Porto,53
Bragança,Vila Real,137
Bragança,Guarda,202
Beja,Évora,78
Beja,Faro,152
Beja,Setúbal,142
Castelo Branco,Coimbra,159
Castelo Branco,Guarda,106
Castelo Branco,Portalegre,80
Castelo Branco,Évora,203
Coimbra,Viseu,96
Coimbra,Leiria,67
Évora,Lisboa,150
Évora,Santarém,117
Évora,Portalegre,131
Évora,Setúbal,103
Faro,Setúbal,249
Faro,Lisboa,299
Guarda,Vila Real,157
Guarda,Viseu,85
Leiria,Lisboa,129
Leiria,Santarém,70
Lisboa,Santarém,78
Lisboa,Setúbal,50
Porto,Viana do Castelo,71
Porto,Vila Real,116
Porto,Viseu,133
Vila Real,Viseu,110