"city","lat","lng"
"Lisbon","38.716667","-9.133333"
"Braga","41.550323","-8.420052"
"Setúbal","38.533333","-8.9"
"Évora","38.566667","-7.9"
"Aveiro","40.644269","-8.645535"
"Leiria","39.747724","-8.804995"
"Faro","37.019367","-7.932229"
"Beja","38.015064","-7.863227"
"Bragança","41.805817","-6.757189"
"Castelo Branco","39.822191","-7.490869"
"Guarda","40.537328","-7.265749"
"Vila Real","41.30062","-7.744129"
"Santarém","39.233333","-8.683333"
"Coimbra","40.205642","-8.419551"
"Viseu","40.661014","-7.909714"
"Portalegre","39.297178","-7.430151"
"Viana do Castelo","41.693234","-8.832869"
"Porto","41.149606","-8.610993"